PredictedProbability|PredictedLabel
0.354255|0
0.358493|0
0.351135|0
0.389488|0
0.374575|0
0.374575|0
0.376277|0
0.336312|0
0.342075|0
0.337826|0
0.340397|0
0.331227|0
0.3261|0
0.333525|0
0.329798|0
0.323147|0
0.321168|0
0.316216|0
0.310511|0
0.328405|0
0.325129|0
0.323392|0
0.339789|0
0.328029|0
0.299869|0
0.289984|0
0.294682|0
0.301482|0
0.299469|0
0.324904|0
0.32553|0
0.305593|0
0.335207|0
0.314691|0
0.323494|0
0.291674|0
0.296624|0
0.297139|0
0.292714|0
0.289064|0
0.288782|0
0.27669|0
0.278371|0
0.323774|0
0.310433|0
0.350568|0
0.338143|0
0.313561|0
0.369386|0
0.34974|0
0.409686|0
0.382372|0
